Simulation,Time,Population,Species,camouflage,feeding_bonus
3,2,93,Predator,,1.5508989554139851
3,3,40,Prey,0.7212989864367636,
3,3,96,Predator,,1.5508989554139851
3,4,26,Prey,0.7212989864367636,
3,4,94,Predator,,1.5508989554139851
3,5,15,Prey,0.7212989864367636,
3,5,96,Predator,,1.5508989554139851
3,6,16,Prey,0.7212989864367636,
3,6,86,Predator,,1.5508989554139851
3,7,15,Prey,0.7212989864367636,
3,7,77,Predator,,1.5508989554139851
3,8,10,Prey,0.7212989864367636,
3,8,75,Predator,,1.5508989554139851
3,9,9,Prey,0.7212989864367636,
3,9,66,Predator,,1.5508989554139851
3,10,4,Prey,0.7212989864367636,
3,10,64,Predator,,1.5508989554139851
3,11,6,Prey,0.7212989864367636,
3,11,59,Predator,,1.5508989554139851
3,12,5,Prey,0.7212989864367636,
3,12,57,Predator,,1.5508989554139851
3,13,5,Prey,0.7212989864367636,
3,13,52,Predator,,1.5508989554139851
3,14,2,Prey,0.7212989864367636,
3,14,43,Predator,,1.5508989554139851
3,15,3,Prey,0.7212989864367636,
3,15,38,Predator,,1.5508989554139851
3,16,2,Prey,0.7212989864367636,
3,16,34,Predator,,1.5508989554139851
3,17,3,Prey,0.7212989864367636,
3,17,27,Predator,,1.5508989554139851
3,18,3,Prey,0.7212989864367636,
3,18,22,Predator,,1.5508989554139851
3,19,3,Prey,0.7212989864367636,
3,19,22,Predator,,1.5508989554139851
3,20,2,Prey,0.7212989864367636,
3,20,20,Predator,,1.5508989554139851
3,21,3,Prey,0.7212989864367636,
3,21,20,Predator,,1.5508989554139851
3,22,3,Prey,0.7212989864367636,
3,22,19,Predator,,1.5508989554139851
3,23,3,Prey,0.7212989864367636,
3,23,19,Predator,,1.5508989554139851
3,24,1,Prey,0.7212989864367636,
3,24,18,Predator,,1.5508989554139851
3,25,0,Prey,0.7212989864367636,
3,25,15,Predator,,1.5508989554139851
3,26,0,Prey,0.7212989864367636,
3,26,15,Predator,,1.5508989554139851
3,27,0,Prey,0.7212989864367636,
3,27,13,Predator,,1.5508989554139851
3,28,0,Prey,0.7212989864367636,
3,28,12,Predator,,1.5508989554139851
3,29,0,Prey,0.7212989864367636,
3,29,9,Predator,,1.5508989554139851
3,30,0,Prey,0.7212989864367636,
3,30,9,Predator,,1.5508989554139851
3,31,0,Prey,0.7212989864367636,
3,31,9,Predator,,1.5508989554139851
3,32,0,Prey,0.7212989864367636,
3,32,6,Predator,,1.5508989554139851
3,33,0,Prey,0.7212989864367636,
3,33,5,Predator,,1.5508989554139851
3,34,0,Prey,0.7212989864367636,
3,34,4,Predator,,1.5508989554139851
3,35,0,Prey,0.7212989864367636,
3,35,4,Predator,,1.5508989554139851
3,36,0,Prey,0.7212989864367636,
3,36,4,Predator,,1.5508989554139851
3,37,0,Prey,0.7212989864367636,
3,37,4,Predator,,1.5508989554139851
3,38,0,Prey,0.7212989864367636,
3,38,4,Predator,,1.5508989554139851
3,39,0,Prey,0.7212989864367636,
3,39,3,Predator,,1.5508989554139851
3,40,0,Prey,0.7212989864367636,
3,40,2,Predator,,1.5508989554139851
3,41,0,Prey,0.7212989864367636,
3,41,2,Predator,,1.5508989554139851
3,42,0,Prey,0.7212989864367636,
3,42,2,Predator,,1.5508989554139851
3,43,0,Prey,0.7212989864367636,
3,43,2,Predator,,1.5508989554139851
3,44,0,Prey,0.7212989864367636,
3,44,2,Predator,,1.5508989554139851
3,45,0,Prey,0.7212989864367636,
3,45,1,Predator,,1.5508989554139851
3,46,0,Prey,0.7212989864367636,
3,46,1,Predator,,1.5508989554139851
3,47,0,Prey,0.7212989864367636,
3,47,1,Predator,,1.5508989554139851
3,48,0,Prey,0.7212989864367636,
3,48,1,Predator,,1.5508989554139851
3,49,0,Prey,0.7212989864367636,
3,49,0,Predator,,1.5508989554139851
3,50,0,Prey,0.7212989864367636,
3,50,0,Predator,,1.5508989554139851
3,51,0,Prey,0.7212989864367636,
3,51,0,Predator,,1.5508989554139851
3,52,0,Prey,0.7212989864367636,
3,52,0,Predator,,1.5508989554139851
3,53,0,Prey,0.7212989864367636,
3,53,0,Predator,,1.5508989554139851
3,54,0,Prey,0.7212989864367636,
3,54,0,Predator,,1.5508989554139851
3,55,0,Prey,0.7212989864367636,
3,55,0,Predator,,1.5508989554139851
3,56,0,Prey,0.7212989864367636,
3,56,0,Predator,,1.5508989554139851
3,57,0,Prey,0.7212989864367636,
3,57,0,Predator,,1.5508989554139851
3,58,0,Prey,0.7212989864367636,
3,58,0,Predator,,1.5508989554139851
3,59,0,Prey,0.7212989864367636,
3,59,0,Predator,,1.5508989554139851
4,0,124,Prey,0.7610717690762632,
4,0,75,Predator,,1.5007092107690545
4,1,93,Prey,0.7610717690762632,
4,1,96,Predator,,1.5007092107690545
4,2,27,Prey,0.7610717690762632,
4,2,107,Predator,,1.5007092107690545
4,3,12,Prey,0.7610717690762632,
4,3,101,Predator,,1.5007092107690545
4,4,6,Prey,0.7610717690762632,
4,4,92,Predator,,1.5007092107690545
4,5,1,Prey,0.7610717690762632,
4,5,90,Predator,,1.5007092107690545
4,6,0,Prey,0.7610717690762632,
4,6,82,Predator,,1.5007092107690545
4,7,0,Prey,0.7610717690762632,
4,7,75,Predator,,1.5007092107690545
4,8,0,Prey,0.7610717690762632,
4,8,64,Predator,,1.5007092107690545
4,9,0,Prey,0.7610717690762632,
4,9,58,Predator,,1.5007092107690545
4,10,0,Prey,0.7610717690762632,
4,10,50,Predator,,1.5007092107690545
4,11,0,Prey,0.7610717690762632,
4,11,46,Predator,,1.5007092107690545
4,12,0,Prey,0.7610717690762632,
4,12,39,Predator,,1.5007092107690545
4,13,0,Prey,0.7610717690762632,
